devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,ocupacion,throughput,goodThroughput,retransmissionsPerPacket,w,c,tam_red,num_stas,goodput_retrans_ratio
0.0,0.0,110.0,110.0,110.0,11.0,123.0,12.0,46.68292682926829,0.19302988505747126,10.7256,9.592,0.0975609756097561,3.0,9.0,40.0,23.0,0.7378461538461539
0.0,0.0,113.0,112.0,113.0,16.0,129.0,17.0,46.7906976744186,0.19608683896620274,11.2488,9.8536,0.13178294573643412,3.0,9.0,40.0,23.0,0.5474222222222223
0.0,0.0,113.0,113.0,113.0,13.0,132.0,19.0,46.68181818181818,0.19829904576436222,11.5104,9.8536,0.14393939393939395,3.0,9.0,40.0,23.0,0.49268
0.0,0.0,113.0,113.0,113.0,14.0,127.0,14.0,46.53543307086614,0.1989228291032149,11.0744,9.8536,0.11023622047244094,3.0,9.0,40.0,23.0,0.6569066666666666
0.0,0.0,112.0,112.0,112.0,12.0,124.0,12.0,46.935483870967744,0.19548195189003434,10.8128,9.7664,0.0967741935483871,2.0,10.0,40.0,23.0,0.7512615384615385
0.0,0.0,114.0,114.0,114.0,13.0,127.0,13.0,46.53543307086614,0.20068320812182744,11.0744,9.9408,0.10236220472440945,3.0,9.0,40.0,23.0,0.7100571428571428
0.0,0.0,111.0,111.0,111.0,19.0,132.0,21.0,47.13636363636363,0.19291093539054965,11.5104,9.6792,0.1590909090909091,4.0,8.0,40.0,23.0,0.43996363636363633
0.0,0.0,113.0,113.0,113.0,15.0,128.0,15.0,46.546875,0.19887393084927826,11.1616,9.8536,0.1171875,2.0,10.0,40.0,23.0,0.61585
0.0,0.0,111.0,111.0,111.0,15.0,133.0,22.0,46.78195488721804,0.19437238187078107,11.5976,9.6792,0.16541353383458646,4.0,8.0,40.0,23.0,0.42083478260869567
0.0,0.0,111.0,111.0,111.0,22.0,135.0,24.0,47.2,0.1926508474576271,11.772,9.6792,0.17777777777777778,6.0,6.0,40.0,23.0,0.387168
0.0,0.0,113.0,113.0,113.0,10.0,125.0,12.0,46.368,0.19964113181504486,10.9,9.8536,0.096,2.0,10.0,40.0,23.0,0.7579692307692307
0.0,0.0,112.0,112.0,112.0,12.0,124.0,12.0,45.67741935483871,0.20086598870056496,10.8128,9.7664,0.0967741935483871,3.0,9.0,40.0,23.0,0.7512615384615385
0.0,0.0,114.0,114.0,114.0,11.0,127.0,13.0,46.20472440944882,0.20211959100204493,11.0744,9.9408,0.10236220472440945,3.0,9.0,40.0,23.0,0.7100571428571428
0.0,0.0,112.0,112.0,112.0,13.0,127.0,15.0,45.63779527559055,0.20104038647342995,11.0744,9.7664,0.11811023622047244,2.0,10.0,40.0,23.0,0.6104
0.0,0.0,113.0,113.0,113.0,14.0,127.0,14.0,46.20472440944882,0.20034661213360594,11.0744,9.8536,0.11023622047244094,4.0,8.0,40.0,23.0,0.6569066666666666
0.0,0.0,112.0,113.0,112.0,19.0,136.0,23.0,46.411764705882355,0.19945287705956904,11.8592,9.7664,0.16911764705882354,4.0,8.0,40.0,23.0,0.40693333333333337
0.0,0.0,112.0,113.0,112.0,8.0,128.0,16.0,45.421875,0.20379960096319227,11.1616,9.7664,0.125,2.0,10.0,40.0,23.0,0.5744941176470588
0.0,0.0,111.0,109.0,111.0,19.0,132.0,22.0,44.90909090909091,0.1988301214574899,11.5104,9.6792,0.16666666666666666,2.0,10.0,40.0,23.0,0.42083478260869567
0.0,0.0,112.0,113.0,112.0,10.0,123.0,10.0,45.36585365853659,0.20405126881720428,10.7256,9.7664,0.08130081300813008,2.0,10.0,40.0,23.0,0.8878545454545456
0.0,0.0,113.0,112.0,113.0,13.0,127.0,15.0,44.92913385826772,0.20421137048720645,11.0744,9.8536,0.11811023622047244,2.0,10.0,40.0,23.0,0.61585
0.0,0.0,113.0,113.0,113.0,17.0,130.0,17.0,45.55384615384615,0.20320918608578184,11.336,9.8536,0.13076923076923078,4.0,8.0,40.0,23.0,0.5474222222222223
0.0,0.0,112.0,112.0,112.0,21.0,133.0,21.0,46.69172932330827,0.1965024669887278,11.5976,9.7664,0.15789473684210525,3.0,9.0,40.0,23.0,0.4439272727272728
0.0,0.0,113.0,114.0,113.0,18.0,132.0,18.0,46.18181818181818,0.20221984251968506,11.5104,9.8536,0.13636363636363635,2.0,10.0,40.0,23.0,0.5186105263157895
0.0,0.0,112.0,111.0,112.0,7.0,118.0,7.0,45.355932203389834,0.2004835874439462,10.2896,9.7664,0.059322033898305086,2.0,10.0,40.0,23.0,1.2208
0.0,0.0,112.0,113.0,112.0,17.0,132.0,19.0,45.72727272727273,0.20243848906560635,11.5104,9.7664,0.14393939393939395,3.0,9.0,40.0,23.0,0.48832000000000003
0.0,0.0,112.0,112.0,112.0,7.0,119.0,7.0,44.87394957983193,0.20446250187265919,10.3768,9.7664,0.058823529411764705,2.0,10.0,40.0,23.0,1.2208
0.0,0.0,111.0,110.0,111.0,14.0,126.0,16.0,45.523809523809526,0.19794476987447698,10.9872,9.6792,0.12698412698412698,3.0,9.0,40.0,23.0,0.5693647058823529
0.0,0.0,113.0,113.0,113.0,10.0,125.0,12.0,45.504,0.20343178621659633,10.9,9.8536,0.096,3.0,9.0,40.0,23.0,0.7579692307692307
0.0,0.0,112.0,112.0,112.0,15.0,133.0,21.0,46.10526315789474,0.19900200913242008,11.5976,9.7664,0.15789473684210525,3.0,9.0,40.0,23.0,0.4439272727272728
0.0,0.0,114.0,115.0,114.0,18.0,134.0,19.0,46.38805970149254,0.20308674388674386,11.6848,9.9408,0.1417910447761194,3.0,9.0,40.0,23.0,0.49704
0.0,0.0,112.0,111.0,112.0,14.0,125.0,14.0,45.888,0.19815899581589957,10.9,9.7664,0.112,2.0,10.0,40.0,23.0,0.6510933333333334
0.0,0.0,113.0,114.0,113.0,13.0,127.0,13.0,45.92125984251968,0.20336724279835394,11.0744,9.8536,0.10236220472440945,2.0,10.0,40.0,23.0,0.7038285714285715
0.0,0.0,113.0,112.0,113.0,21.0,133.0,21.0,47.00751879699248,0.19518239283429303,11.5976,9.8536,0.15789473684210525,4.0,8.0,40.0,23.0,0.4478909090909091
0.0,0.0,112.0,113.0,112.0,21.0,135.0,23.0,46.355555555555554,0.1996947267497603,11.772,9.7664,0.17037037037037037,2.0,10.0,40.0,23.0,0.40693333333333337
0.0,0.0,110.0,110.0,110.0,7.0,118.0,7.0,45.152542372881356,0.19957237237237238,10.2896,9.592,0.059322033898305086,2.0,10.0,40.0,23.0,1.199
0.0,0.0,113.0,112.0,113.0,16.0,132.0,20.0,46.04545454545455,0.19926049358341558,11.5104,9.8536,0.15151515151515152,3.0,9.0,40.0,23.0,0.46921904761904765
0.0,0.0,111.0,112.0,111.0,8.0,119.0,7.0,45.983193277310924,0.19953029239766082,10.3768,9.6792,0.058823529411764705,3.0,9.0,40.0,23.0,1.2099
0.0,0.0,114.0,113.0,114.0,18.0,134.0,21.0,46.298507462686565,0.1999407865892972,11.6848,9.9408,0.15671641791044777,3.0,9.0,40.0,23.0,0.45185454545454545
0.0,0.0,112.0,113.0,112.0,12.0,127.0,14.0,45.968503937007874,0.20137614251455974,11.0744,9.7664,0.11023622047244094,2.0,10.0,40.0,23.0,0.6510933333333334
